V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
0.99913	0.99985	0.99895	1.00221	0.99895	0.99822	1.00058	1.00203	1.00203	1.00040	0.99695	1.00149	0.99949	0.99858	1.00258	1.00058	0.99877	0.99877	0.99750	1.00221	1.00094	1.00040	1.00076	0.99840	1.00040	0.99822	0.99786	0.99822	1.00004	1.00040	1.00022	0.99967	0.99877	0.99895	0.99768	1.00058	0.99768	0.99804	1.00040	1.00112	0.99858	1.00112	1.00112	0.99967	1.00022	0.99877	1.00058	1.00239	0.99931	1.00385	0.99858	0.99949	1.00258	1.00149	0.99967	1.00112	1.00167	0.99822	0.99913	1.00185	1.00239	1.00167	1.00076	1.00131	1.00094	1.00131	1.00203	0.99858	0.99967	1.00076	1.00112	0.99913	1.00058	1.00004	0.99840	0.99895	0.99949	1.00403	0.99985	1.00167	0.99949	1.00131	0.99731	1.00004	1.00112	0.99949	1.00040	1.00149	1.00058	0.99985	0.99750	0.99985	0.99949	0.99786	1.00131	0.99931	1.00076	1.00004	0.99967	0.99931	0.99931
0.99937	0.99973	1.00009	1.00246	0.99937	0.99882	1.00064	1.00155	1.00209	1.00028	0.99664	1.00118	0.99900	0.99991	1.00209	1.00064	0.99809	0.99864	0.99755	1.00246	1.00100	1.00028	1.00064	0.99809	1.00028	0.99827	0.99809	0.99846	1.00028	1.00046	1.00100	1.00009	0.99900	0.99882	0.99755	1.00118	0.99718	0.99773	1.00082	1.00155	0.99900	1.00173	1.00173	0.99937	1.00100	0.99864	0.99973	1.00282	0.99918	1.00464	0.99937	0.99900	1.00209	1.00155	0.99955	1.00100	1.00118	0.99809	0.99918	1.00064	1.00300	1.00118	1.00064	1.00100	1.00118	1.00228	1.00246	0.99846	0.99937	1.00009	1.00100	0.99918	1.00009	1.00082	0.99918	0.99809	0.99991	1.00373	0.99973	1.00209	1.00028	1.00100	0.99682	1.00100	1.00118	0.99937	1.00046	1.00137	1.00046	1.00046	0.99718	0.99991	0.99955	0.99736	1.00064	0.99991	1.00046	1.00009	0.99937	0.99882	0.99973
0.99922	0.99904	0.99977	1.00196	0.99959	0.99922	1.00086	1.00214	1.00196	0.99977	0.99758	1.00031	0.99904	1.00031	1.00177	1.00086	0.99831	0.99849	0.99758	1.00287	1.00159	1.00050	1.00050	0.99776	1.00068	0.99813	0.99813	0.99813	1.00068	1.00086	1.00086	1.00104	0.99794	0.99813	0.99703	1.00050	0.99813	0.99758	1.00196	1.00159	0.99867	1.00232	1.00196	0.99977	1.00104	0.99886	0.99977	1.00287	1.00013	1.00414	0.99995	0.99922	1.00196	1.00196	0.99922	1.00086	1.00104	0.99831	0.99922	1.00068	1.00323	1.00177	1.00050	1.00141	1.00196	1.00269	1.00269	0.99904	0.99977	0.99977	1.00104	0.99940	0.99959	1.00031	0.99886	0.99940	1.00031	1.00433	0.99959	1.00196	1.00031	1.00123	0.99630	1.00177	1.00141	0.99940	0.99977	1.00141	1.00031	1.00068	0.99740	1.00031	0.99959	0.99703	0.99995	1.00013	1.00086	1.00068	1.00013	0.99867	0.99995
1.00027	0.99844	0.99954	1.00210	1.00027	0.99991	1.00100	1.00210	1.00192	0.99844	0.99625	0.99991	0.99826	1.00100	1.00210	1.00064	0.99808	0.99808	0.99771	1.00302	1.00174	1.00046	1.00137	0.99790	1.00009	0.99826	0.99826	0.99881	1.00119	1.00137	1.00100	1.00100	0.99790	0.99863	0.99625	1.00137	0.99790	0.99698	1.00119	1.00119	0.99954	1.00247	1.00283	0.99899	1.00155	0.99954	0.99899	1.00283	1.00082	1.00338	0.99991	0.99863	1.00192	1.00192	0.99936	0.99954	1.00137	0.99771	0.99881	1.00064	1.00338	1.00137	1.00009	1.00100	1.00174	1.00247	1.00228	0.99936	0.99954	0.99991	1.00100	0.99936	0.99972	1.00009	0.99863	0.99936	1.00082	1.00448	1.00027	1.00174	1.00064	1.00155	0.99607	1.00064	1.00100	0.99918	1.00009	1.00210	0.99991	1.00082	0.99753	1.00027	0.99936	0.99698	1.00027	0.99972	1.00082	1.00064	0.99972	0.99790	1.00082
0.99978	0.99831	0.99960	1.00216	0.99978	1.00015	1.00125	1.00235	1.00235	0.99813	0.99611	1.00033	0.99886	1.00143	1.00198	1.00070	0.99850	0.99740	0.99740	1.00418	1.00125	1.00033	1.00106	0.99886	0.99996	0.99886	0.99776	0.99923	1.00161	1.00180	1.00106	1.00088	0.99758	0.99868	0.99575	1.00161	0.99850	0.99685	1.00180	1.00051	0.99923	1.00216	1.00345	0.99960	1.00216	0.99941	0.99813	1.00271	1.00070	1.00345	1.00015	0.99886	1.00216	1.00180	0.99978	0.99941	1.00125	0.99868	0.99868	1.00015	1.00308	1.00051	1.00070	1.00033	1.00253	1.00271	1.00143	0.99923	0.99941	1.00033	1.00088	0.99941	1.00015	0.99905	0.99886	0.99996	1.00070	1.00400	0.99978	1.00216	1.00051	1.00161	0.99520	1.00051	1.00106	0.99941	0.99996	1.00198	1.00033	1.00088	0.99758	0.99960	0.99978	0.99593	1.00033	0.99905	1.00088	1.00106	0.99996	0.99795	1.00070
1.00074	0.99872	0.99964	1.00111	0.99890	1.00019	1.00092	1.00221	1.00221	0.99798	0.99541	1.00055	0.99927	1.00129	1.00166	1.00000	0.99890	0.99761	0.99743	1.00441	1.00129	1.00055	1.00074	0.99872	0.99982	0.99908	0.99817	0.99927	1.00202	1.00184	1.00166	1.00111	0.99780	0.99982	0.99523	1.00184	0.99872	0.99633	1.00258	1.00037	0.99927	1.00258	1.00423	0.99964	1.00239	0.99964	0.99817	1.00239	1.00019	1.00386	1.00019	0.99890	1.00202	1.00221	0.99982	0.99890	1.00147	0.99835	0.99908	0.99964	1.00331	1.00000	1.00055	1.00037	1.00313	1.00294	1.00074	0.99908	1.00037	0.99982	1.00074	0.99945	1.00019	0.99872	0.99817	1.00037	1.00055	1.00478	1.00055	1.00184	1.00019	1.00239	0.99523	1.00092	1.00166	1.00000	0.99982	1.00129	1.00055	1.00111	0.99670	0.99908	0.99927	0.99578	1.00019	0.99908	1.00055	1.00184	1.00019	0.99743	1.00111
1.00117	0.99896	1.00006	1.00154	0.99840	1.00061	1.00154	1.00190	1.00246	0.99840	0.99564	1.00098	0.99914	1.00117	1.00117	1.00043	0.99840	0.99767	0.99767	1.00430	1.00172	1.00098	1.00006	0.99877	0.99951	0.99877	0.99840	0.99988	1.00246	1.00098	1.00135	1.00172	0.99767	0.99988	0.99527	1.00135	0.99932	0.99619	1.00209	1.00006	0.99914	1.00264	1.00485	0.99988	1.00190	0.99932	0.99840	1.00246	0.99951	1.00393	1.00080	0.99877	1.00227	1.00246	1.00006	0.99932	1.00190	0.99840	0.99951	0.99969	1.00301	0.99988	1.00043	1.00043	1.00301	1.00227	1.00154	0.99877	1.00043	0.99951	1.00117	0.99914	0.99988	0.99822	0.99804	1.00080	0.99969	1.00485	1.00025	1.00190	0.99969	1.00264	0.99490	1.00098	1.00154	0.99988	0.99914	1.00117	1.00080	1.00117	0.99619	0.99914	0.99988	0.99619	0.99932	0.99932	1.00043	1.00246	1.00006	0.99693	1.00154
1.00076	0.99928	0.99928	1.00094	0.99817	1.00039	1.00113	1.00205	1.00297	0.99873	0.99577	1.00076	0.99817	1.00113	1.00131	1.00057	0.99909	0.99743	0.99799	1.00482	1.00223	1.00076	1.00057	0.99836	0.99983	0.99799	0.99799	1.00057	1.00242	1.00131	1.00150	1.00131	0.99762	0.99983	0.99485	1.00113	0.99891	0.99688	1.00076	0.99965	0.99909	1.00223	1.00464	0.99946	1.00113	0.99909	0.99836	1.00242	1.00020	1.00408	1.00039	0.99891	1.00242	1.00242	1.00076	0.99854	1.00223	0.99836	0.99928	1.00002	1.00242	0.99928	1.00039	1.00076	1.00334	1.00205	1.00168	0.99836	1.00039	0.99983	1.00076	0.99909	1.00020	0.99762	0.99799	1.00076	0.99983	1.00501	0.99983	1.00168	0.99946	1.00223	0.99429	1.00057	1.00131	0.99965	0.99946	1.00150	1.00039	1.00076	0.99651	0.99854	1.00002	0.99595	0.99928	0.99946	1.00094	1.00223	0.99983	0.99706	1.00187
1.00072	0.99979	0.99942	1.00072	0.99812	1.00016	1.00201	1.00127	1.00275	0.99942	0.99553	1.00090	0.99794	1.00090	1.00053	1.00072	0.99868	0.99794	0.99720	1.00442	1.00294	1.00016	0.99997	0.99831	0.99960	0.99794	0.99794	1.00109	1.00201	1.00275	1.00146	1.00090	0.99738	1.00016	0.99423	1.00035	0.99849	0.99775	1.00146	0.99923	0.99979	1.00220	1.00442	0.99905	1.00090	0.99942	0.99831	1.00257	1.00109	1.00479	1.00035	0.99868	1.00220	1.00238	1.00146	0.99905	1.00238	0.99868	0.99886	1.00016	1.00294	0.99849	1.00053	1.00146	1.00386	1.00220	1.00183	0.99868	0.99923	0.99942	1.00053	0.99905	0.99997	0.99812	0.99886	1.00053	0.99997	1.00479	0.99979	1.00201	0.99979	1.00238	0.99386	1.00109	1.00127	0.99997	1.00016	1.00072	1.00053	1.00109	0.99553	0.99812	1.00016	0.99664	0.99905	0.99997	1.00090	1.00164	0.99997	0.99627	1.00146
1.00076	1.00020	1.00001	1.00113	0.99834	0.99983	1.00169	1.00131	1.00280	1.00001	0.99630	1.00169	0.99816	1.00206	1.00001	1.00094	0.99872	0.99760	0.99742	1.00354	1.00336	0.99927	1.00094	0.99872	0.99946	0.99779	0.99890	1.00020	1.00224	1.00317	1.00131	1.00150	0.99816	0.99983	0.99407	1.00094	0.99779	0.99816	1.00113	0.99964	0.99964	1.00243	1.00391	0.99872	1.00020	0.99946	0.99853	1.00243	1.00094	1.00466	1.00113	1.00001	1.00243	1.00150	1.00094	0.99872	1.00298	0.99779	0.99983	1.00039	1.00317	0.99816	1.00113	1.00113	1.00354	1.00206	1.00150	0.99927	0.99927	0.99946	1.00001	0.99909	0.99983	0.99890	0.99964	1.00057	0.99890	1.00521	0.99964	1.00261	0.99890	1.00169	0.99407	1.00131	1.00020	0.99927	0.99983	1.00113	1.00039	1.00131	0.99482	0.99779	1.00039	0.99649	0.99872	1.00039	1.00131	1.00169	0.99927	0.99556	1.00150
