V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
1.00005	1.00022	1.00108	0.99936	0.99971	1.00022	0.99799	0.99971	0.99936	0.99816	1.00125	0.99988	1.00056	0.99971	0.99936	1.00296	1.00108	1.00382	1.00142	0.99988	1.00211	0.99936	0.99971	0.99902	0.99936	1.00039	1.00108	1.00039	1.00005	0.99919	0.99799	1.00331	1.00022	0.99868	0.99816	0.99834	0.99936	1.00056	0.99868	1.00022	0.99834	0.99885	0.99594	0.99679	1.00056	0.99936	0.99971	0.99902	1.00176	1.00176	1.00005	1.00022	1.00074	0.99885	0.99919	0.99885	0.99919	0.99988	1.00108	1.00142	0.99902	0.99851	1.00039	0.99885	1.00056	1.00108	0.99988	1.00039	0.99902	0.99834	1.00176	0.99902	0.99936	1.00331	0.99919	0.99971	0.99902	0.99936	0.99936	0.99662	0.99971	1.00022	1.00091	1.00039	0.99885	1.00022	0.99954	1.00142	0.99919	0.99988	0.99936	0.99919	1.00142	1.00091	1.00056	1.00125	0.99902	0.99971	0.99936	0.99868	1.00108
1.00042	1.00025	1.00059	0.99922	0.99956	0.99991	0.99698	0.99991	1.00025	0.99836	1.00162	0.99991	1.00008	1.00008	0.99939	1.00334	1.00111	1.00386	1.00145	1.00008	1.00128	0.99905	0.99991	0.99887	0.99905	1.00059	1.00145	1.00042	1.00059	0.99956	0.99887	1.00334	0.99991	0.99887	0.99801	0.99801	0.99956	1.00076	0.99887	0.99973	0.99784	0.99887	0.99630	0.99698	1.00076	0.99956	0.99922	0.99939	1.00145	1.00042	1.00025	0.99973	1.00059	0.99836	0.99922	0.99887	0.99922	1.00042	1.00162	1.00111	0.99905	0.99819	1.00042	0.99870	1.00042	1.00059	1.00008	1.00008	0.99905	0.99801	1.00145	0.99853	0.99922	1.00317	0.99905	0.99939	0.99870	0.99870	0.99922	0.99698	1.00042	0.99973	1.00025	1.00025	0.99836	1.00042	0.99870	1.00231	0.99922	1.00008	0.99905	0.99905	1.00162	1.00076	1.00025	1.00059	0.99887	1.00042	0.99922	0.99819	1.00145
1.00155	1.00018	1.00069	0.99931	1.00018	1.00018	0.99690	1.00000	1.00052	0.99897	1.00138	1.00000	0.99966	1.00052	0.99914	1.00328	1.00069	1.00293	1.00121	1.00052	1.00121	0.99845	1.00000	0.99880	0.99914	1.00104	1.00138	1.00035	0.99983	0.99931	0.99914	1.00310	1.00035	0.99862	0.99845	0.99880	0.99931	1.00018	0.99931	0.99949	0.99742	0.99931	0.99639	0.99673	1.00052	0.99880	1.00018	0.99828	1.00138	1.00000	1.00086	1.00000	1.00104	0.99897	0.99897	0.99880	0.99897	1.00052	1.00190	1.00052	0.99845	0.99897	1.00086	0.99897	1.00052	1.00069	1.00035	1.00018	0.99931	0.99828	1.00121	0.99897	0.99966	1.00397	0.99828	0.99966	0.99897	0.99897	0.99949	0.99707	1.00018	0.99966	1.00000	1.00069	0.99794	1.00155	0.99828	1.00155	0.99862	1.00086	0.99862	0.99862	1.00121	1.00104	1.00104	1.00104	0.99828	1.00035	0.99931	0.99776	1.00190
1.00225	1.00000	1.00086	0.99879	1.00017	1.00017	0.99655	0.99948	1.00035	0.99914	1.00104	1.00017	1.00000	1.00086	0.99897	1.00311	1.00104	1.00328	1.00121	1.00035	1.00104	0.99862	0.99966	0.99948	0.99966	1.00069	1.00138	0.99966	1.00000	1.00000	0.99914	1.00259	1.00086	0.99810	0.99879	0.99948	0.99966	1.00000	0.99966	0.99897	0.99741	0.99983	0.99637	0.99637	1.00069	0.99862	1.00000	0.99845	1.00121	0.99966	1.00052	1.00052	1.00086	0.99862	0.99862	0.99810	0.99948	1.00069	1.00138	1.00052	0.99879	0.99914	1.00104	0.99948	1.00104	1.00156	1.00035	1.00104	1.00017	0.99827	1.00086	0.99897	0.99931	1.00415	0.99810	0.99966	0.99810	0.99862	1.00017	0.99793	1.00017	0.99931	1.00052	1.00052	0.99827	1.00190	0.99827	1.00190	0.99827	1.00121	0.99810	0.99914	1.00156	1.00086	1.00138	1.00104	0.99862	1.00069	0.99931	0.99827	1.00156
1.00193	0.99985	1.00107	0.99951	1.00003	1.00072	0.99639	0.99916	1.00020	0.99934	1.00089	0.99951	1.00020	1.00020	0.99882	1.00193	1.00176	1.00332	1.00020	0.99951	1.00124	0.99899	0.99985	0.99985	0.99985	1.00089	1.00176	0.99985	0.99968	1.00037	0.99968	1.00263	1.00003	0.99899	0.99934	1.00020	0.99934	0.99934	0.99985	0.99899	0.99830	0.99951	0.99605	0.99622	1.00020	0.99812	1.00020	0.99830	1.00176	0.99968	1.00089	1.00055	1.00037	0.99864	0.99812	0.99864	0.99899	1.00020	1.00124	1.00037	0.99864	0.99882	1.00141	0.99985	1.00037	1.00159	1.00037	1.00072	0.99968	0.99812	1.00141	0.99899	0.99934	1.00488	0.99778	1.00037	0.99864	0.99985	1.00072	0.99830	0.99985	0.99864	1.00072	1.00037	0.99812	1.00193	0.99916	1.00211	0.99795	1.00124	0.99830	0.99864	1.00159	1.00089	1.00141	1.00107	0.99899	1.00003	0.99934	0.99882	1.00107
1.00186	0.99978	1.00047	0.99943	1.00100	1.00082	0.99631	0.99874	1.00013	0.99891	1.00152	0.99891	1.00065	1.00047	0.99891	1.00238	1.00186	1.00325	1.00065	0.99943	1.00047	0.99856	1.00013	1.00013	1.00013	1.00030	1.00204	0.99961	0.99891	1.00082	0.99978	1.00343	0.99978	0.99961	0.99943	0.99995	0.99943	0.99909	0.99926	0.99909	0.99856	0.99943	0.99544	0.99631	1.00047	0.99874	1.00117	0.99787	1.00152	0.99926	1.00152	1.00047	1.00013	0.99978	0.99787	0.99909	0.99839	1.00013	1.00082	1.00065	0.99909	0.99926	1.00186	0.99909	1.00030	1.00186	1.00047	1.00100	0.99961	0.99787	1.00152	0.99909	0.99909	1.00534	0.99718	1.00047	0.99839	1.00030	1.00013	0.99804	0.99961	0.99804	1.00100	1.00047	0.99839	1.00256	0.99926	1.00221	0.99770	1.00152	0.99804	0.99770	1.00100	1.00117	1.00134	1.00117	0.99909	0.99943	0.99909	0.99909	1.00082
1.00127	1.00058	0.99988	0.99970	1.00145	1.00110	0.99709	0.99796	1.00005	0.99953	1.00214	0.99953	1.00110	0.99988	0.99883	1.00214	1.00232	1.00284	1.00023	0.99953	1.00040	0.99883	1.00023	1.00005	1.00023	1.00058	1.00197	0.99953	0.99814	1.00040	1.00005	1.00353	0.99970	1.00005	1.00023	1.00023	0.99866	0.99988	0.99953	0.99936	0.99831	0.99988	0.99535	0.99622	1.00040	0.99779	1.00145	0.99779	1.00197	0.99936	1.00127	1.00058	1.00040	1.00023	0.99744	0.99970	0.99831	1.00005	1.00092	1.00127	0.99814	0.99866	1.00162	0.99849	1.00075	1.00162	1.00005	1.00040	0.99883	0.99762	1.00179	0.99953	0.99953	1.00458	0.99762	0.99988	0.99849	1.00023	1.00023	0.99796	0.99918	0.99779	1.00127	1.00005	0.99831	1.00319	0.99901	1.00232	0.99796	1.00214	0.99849	0.99744	1.00092	1.00232	1.00075	1.00110	0.99901	0.99918	0.99918	0.99918	1.00040
1.00092	1.00057	0.99935	0.99988	1.00180	1.00127	0.99743	0.99726	1.00023	0.99918	1.00232	0.99883	1.00197	1.00005	0.99866	1.00145	1.00145	1.00319	1.00005	0.99970	1.00075	0.99848	1.00057	1.00005	1.00075	1.00057	1.00110	0.99935	0.99761	1.00145	1.00057	1.00337	0.99953	1.00040	1.00005	1.00057	0.99831	0.99935	0.99900	0.99900	0.99778	0.99953	0.99621	0.99674	1.00040	0.99743	1.00162	0.99778	1.00232	0.99953	1.00075	1.00092	1.00092	1.00040	0.99709	0.99988	0.99848	0.99970	1.00040	1.00197	0.99796	0.99935	1.00180	0.99831	1.00127	1.00180	1.00040	1.00023	0.99918	0.99743	1.00162	0.99970	1.00005	1.00476	0.99761	1.00040	0.99866	1.00005	1.00040	0.99813	0.99883	0.99813	1.00145	1.00040	0.99866	1.00302	0.99900	1.00249	0.99778	1.00162	0.99778	0.99674	1.00145	1.00302	1.00092	1.00075	0.99866	0.99953	0.99848	0.99883	1.00127
1.00120	1.00033	0.99910	0.99980	1.00277	1.00120	0.99735	0.99683	1.00068	0.99893	1.00138	0.99858	1.00260	0.99963	0.99840	1.00120	1.00208	1.00312	0.99980	0.99963	1.00085	0.99875	1.00068	1.00050	1.00068	1.00173	1.00085	0.99928	0.99805	1.00120	1.00085	1.00260	0.99945	0.99998	0.99980	0.99963	0.99858	0.99963	0.99893	0.99945	0.99753	0.99928	0.99630	0.99613	1.00155	0.99805	1.00190	0.99700	1.00277	0.99945	1.00015	1.00085	1.00155	1.00015	0.99700	0.99998	0.99893	1.00033	1.00015	1.00242	0.99770	0.99963	1.00225	0.99788	1.00190	1.00138	1.00103	1.00085	0.99928	0.99735	1.00155	0.99998	0.99945	1.00505	0.99735	1.00120	0.99823	0.99928	0.99998	0.99788	0.99910	0.99700	1.00120	1.00033	0.99875	1.00365	0.99840	1.00190	0.99770	1.00173	0.99788	0.99718	1.00225	1.00312	1.00155	1.00015	0.99840	0.99893	0.99805	0.99840	1.00138
1.00123	1.00035	0.99913	1.00000	1.00246	1.00088	0.99720	0.99562	1.00018	0.99842	1.00106	0.99895	1.00281	0.99965	0.99825	1.00123	1.00228	1.00263	1.00000	0.99983	1.00088	0.99948	1.00053	1.00106	1.00070	1.00193	1.00053	0.99965	0.99755	1.00106	1.00123	1.00246	1.00018	0.99965	1.00035	0.99948	0.99825	0.99983	0.99878	0.99930	0.99755	0.99913	0.99614	0.99597	1.00141	0.99825	1.00193	0.99702	1.00281	0.99948	1.00018	1.00088	1.00158	1.00018	0.99702	1.00018	0.99895	0.99983	1.00053	1.00281	0.99755	1.00000	1.00263	0.99685	1.00263	1.00070	1.00088	1.00018	0.99948	0.99755	1.00123	0.99930	0.99930	1.00509	0.99720	1.00106	0.99825	0.99895	0.99965	0.99755	0.99913	0.99685	1.00211	1.00000	0.99842	1.00386	0.99913	1.00211	0.99755	1.00176	0.99860	0.99685	1.00193	1.00351	1.00070	0.99965	0.99860	0.99790	0.99772	0.99755	1.00088
