V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
1.00101	1.00066	0.99844	0.99844	1.00066	1.00221	1.00049	0.99861	1.00084	0.99912	0.99775	1.00152	0.99844	0.99929	1.00169	1.00066	1.00204	0.99946	1.00118	0.99878	0.99861	1.00135	0.99878	0.99792	1.00135	1.00032	0.99964	0.99946	1.00084	0.99912	1.00084	1.00032	1.00118	1.00049	0.99912	1.00186	1.00101	0.99655	0.99844	0.99929	0.99826	0.99844	0.99844	1.00118	0.99964	1.00032	0.99998	0.99912	1.00118	1.00204	0.99861	0.99861	1.00015	1.00118	1.00032	0.99981	1.00066	1.00255	1.00032	0.99895	0.99998	0.99981	1.00066	1.00049	1.00032	0.99895	0.99775	1.00118	0.99724	1.00169	1.00049	1.00152	0.99878	0.99981	1.00066	1.00118	0.99844	0.99775	1.00015	0.99844	0.99964	1.00101	1.00066	0.99981	0.99981	0.99844	1.00049	1.00152	1.00272	1.00186	1.00032	1.00272	0.99912	1.00152	0.99946	1.00015	0.99741	1.00032	0.99964	1.00101	0.99792
1.00111	1.00025	0.99819	0.99801	1.00025	1.00162	1.00059	0.99870	1.00008	0.99939	0.99750	1.00128	0.99887	0.99905	1.00248	1.00059	1.00214	1.00008	1.00094	0.99853	0.99836	1.00128	0.99819	0.99750	1.00145	1.00094	0.99973	0.99973	1.00042	0.99973	1.00094	0.99973	1.00111	1.00111	0.99922	1.00197	1.00094	0.99630	0.99750	0.99973	0.99836	0.99836	0.99819	1.00111	1.00008	1.00059	1.00094	0.99905	1.00145	1.00111	0.99905	0.99870	1.00076	1.00145	1.00059	1.00008	1.00025	1.00197	1.00059	0.99905	1.00128	0.99991	1.00042	1.00059	1.00042	0.99819	0.99836	1.00128	0.99750	1.00180	1.00076	1.00128	0.99905	1.00008	1.00059	1.00197	0.99836	0.99647	1.00042	0.99767	0.99956	1.00197	1.00094	0.99973	0.99939	0.99853	1.00094	1.00197	1.00300	1.00334	1.00025	1.00266	0.99887	1.00197	0.99973	0.99973	0.99698	1.00042	1.00025	1.00214	0.99767
1.00121	1.00069	0.99828	0.99897	0.99966	1.00207	1.00069	0.99914	0.99949	0.99897	0.99690	1.00086	0.99931	0.99897	1.00276	1.00035	1.00242	1.00018	1.00052	0.99811	0.99845	1.00190	0.99811	0.99759	1.00190	1.00155	1.00000	0.99931	1.00000	0.99949	1.00086	0.99931	1.00086	1.00173	0.99880	1.00138	1.00069	0.99639	0.99742	0.99966	0.99845	0.99862	0.99862	1.00155	1.00035	1.00052	1.00000	0.99880	1.00138	1.00173	0.99845	0.99794	1.00086	1.00121	1.00104	1.00000	1.00018	1.00190	1.00018	0.99880	1.00155	0.99949	0.99983	1.00104	1.00035	0.99845	0.99828	1.00173	0.99725	1.00224	1.00121	1.00190	0.99949	0.99966	1.00121	1.00138	0.99949	0.99707	1.00000	0.99759	0.99949	1.00310	1.00104	1.00018	0.99983	0.99794	1.00052	1.00207	1.00276	1.00379	0.99983	1.00224	0.99794	1.00173	1.00000	0.99914	0.99690	0.99983	1.00018	1.00190	0.99725
1.00131	1.00114	0.99907	0.99924	0.99941	1.00252	1.00079	0.99889	0.99993	0.99855	0.99734	1.00062	0.99889	0.99889	1.00304	1.00010	1.00252	1.00097	1.00114	0.99872	0.99872	1.00200	0.99889	0.99699	1.00200	1.00131	1.00045	0.99924	1.00079	0.99958	1.00045	0.99941	1.00045	1.00217	0.99855	1.00200	1.00062	0.99613	0.99734	1.00027	0.99907	0.99837	0.99924	1.00148	1.00062	1.00027	0.99958	0.99837	1.00166	1.00148	0.99803	0.99837	1.00045	1.00131	1.00166	1.00010	1.00079	1.00148	1.00027	0.99941	1.00148	0.99958	0.99976	1.00148	1.00027	0.99889	0.99803	1.00269	0.99768	1.00252	1.00062	1.00200	1.00062	0.99924	1.00079	1.00166	0.99889	0.99682	1.00010	0.99768	0.99958	1.00338	1.00062	1.00097	1.00062	0.99820	1.00131	1.00217	1.00321	1.00338	1.00027	1.00217	0.99734	1.00166	0.99958	0.99889	0.99682	0.99924	1.00027	1.00287	0.99803
1.00114	1.00166	0.99837	0.99941	0.99906	1.00270	1.00114	0.99923	1.00010	0.99802	0.99733	1.00062	0.99854	0.99923	1.00252	0.99923	1.00252	1.00079	1.00062	0.99733	0.99872	1.00149	0.99941	0.99733	1.00183	1.00131	1.00010	0.99889	1.00062	1.00045	1.00045	0.99975	1.00027	1.00252	0.99906	1.00200	0.99975	0.99594	0.99733	1.00045	0.99906	0.99854	0.99906	1.00149	1.00079	1.00027	0.99975	0.99820	1.00252	1.00252	0.99768	0.99785	1.00045	1.00183	1.00097	0.99958	1.00079	1.00149	1.00027	0.99975	1.00149	0.99906	1.00045	1.00114	1.00027	0.99906	0.99768	1.00322	0.99750	1.00252	1.00114	1.00304	1.00062	0.99941	1.00114	1.00218	0.99958	0.99716	0.99941	0.99785	1.00010	1.00304	1.00045	1.00131	1.00010	0.99785	1.00097	1.00131	1.00356	1.00304	1.00062	1.00200	0.99785	1.00166	1.00027	0.99941	0.99716	0.99854	1.00010	1.00252	0.99837
1.00089	1.00194	0.99864	1.00020	0.99916	1.00298	1.00141	0.99933	1.00055	0.99777	0.99864	1.00037	0.99829	0.99881	1.00246	0.99864	1.00263	1.00037	1.00020	0.99742	0.99829	1.00089	0.99933	0.99777	1.00159	1.00089	0.99985	0.99968	1.00037	1.00037	1.00055	0.99933	0.99968	1.00159	0.99933	1.00159	0.99898	0.99621	0.99742	1.00089	0.99968	0.99812	0.99916	1.00089	1.00055	1.00089	0.99933	0.99864	1.00263	1.00211	0.99725	0.99829	1.00020	1.00107	1.00124	0.99933	1.00072	1.00246	1.00037	0.99968	1.00159	0.99864	1.00020	1.00159	1.00037	0.99829	0.99742	1.00315	0.99742	1.00298	1.00107	1.00298	1.00037	0.99985	1.00089	1.00298	0.99968	0.99708	1.00003	0.99829	0.99968	1.00298	1.00003	1.00194	0.99985	0.99777	1.00159	1.00124	1.00298	1.00384	1.00072	1.00107	0.99777	1.00228	1.00037	0.99933	0.99638	0.99881	0.99968	1.00263	0.99742
1.00127	1.00179	0.99814	0.99918	0.99918	1.00284	1.00162	1.00040	1.00092	0.99779	0.99831	0.99970	0.99901	0.99814	1.00197	0.99866	1.00353	1.00040	0.99988	0.99675	0.99814	1.00058	0.99953	0.99762	1.00127	1.00075	0.99988	0.99988	0.99970	1.00058	1.00040	0.99918	0.99988	1.00179	1.00023	1.00110	0.99936	0.99588	0.99744	1.00145	0.99970	0.99814	0.99866	1.00040	1.00040	1.00110	0.99936	0.99831	1.00249	1.00145	0.99744	0.99796	1.00040	1.00162	1.00197	0.99936	1.00023	1.00284	1.00110	0.99953	1.00179	0.99779	1.00023	1.00092	1.00058	0.99831	0.99866	1.00388	0.99692	1.00301	1.00127	1.00284	1.00023	1.00005	1.00023	1.00284	0.99936	0.99709	1.00058	0.99831	1.00005	1.00284	1.00023	1.00197	0.99988	0.99814	1.00162	1.00110	1.00388	1.00284	0.99988	1.00197	0.99762	1.00214	1.00092	0.99936	0.99657	0.99849	0.99988	1.00284	0.99814
1.00040	1.00249	0.99778	0.99883	0.99900	1.00319	1.00162	1.00023	1.00110	0.99743	0.99866	1.00005	0.99918	0.99813	1.00197	0.99918	1.00406	1.00023	0.99953	0.99639	0.99743	1.00075	1.00023	0.99848	1.00162	1.00057	0.99953	0.99953	0.99918	1.00005	1.00075	0.99866	0.99918	1.00145	1.00040	1.00162	0.99866	0.99621	0.99813	1.00180	0.99935	0.99813	0.99900	0.99953	1.00057	1.00145	0.99900	0.99848	1.00267	1.00162	0.99674	0.99813	1.00040	1.00127	1.00214	0.99918	1.00040	1.00249	1.00214	1.00057	1.00162	0.99796	1.00040	1.00092	1.00040	0.99831	0.99866	1.00424	0.99639	1.00319	1.00162	1.00267	1.00005	0.99970	1.00040	1.00319	0.99953	0.99726	1.00110	0.99866	0.99988	1.00249	1.00023	1.00162	1.00023	0.99848	1.00092	1.00110	1.00371	1.00267	0.99935	1.00145	0.99726	1.00249	1.00110	0.99970	0.99604	0.99813	1.00005	1.00284	0.99813
1.00085	1.00225	0.99770	0.99805	0.99858	1.00295	1.00085	0.99963	1.00155	0.99805	0.99910	1.00015	0.99875	0.99788	1.00155	0.99928	1.00400	1.00033	0.99963	0.99700	0.99788	1.00120	1.00015	0.99805	1.00138	1.00033	0.99928	0.99945	0.99858	0.99998	1.00033	0.99893	0.99945	1.00190	0.99963	1.00190	0.99840	0.99648	0.99840	1.00225	0.99980	0.99805	0.99928	0.99910	0.99980	1.00138	0.99910	0.99858	1.00225	1.00120	0.99613	0.99805	1.00033	1.00138	1.00155	0.99893	0.99928	1.00208	1.00225	1.00068	1.00242	0.99700	1.00015	1.00033	1.00033	0.99840	0.99928	1.00400	0.99630	1.00295	1.00208	1.00277	0.99928	1.00033	1.00103	1.00330	0.99998	0.99735	1.00138	0.99875	0.99998	1.00242	1.00050	1.00173	1.00033	0.99840	1.00138	1.00050	1.00312	1.00277	0.99945	1.00120	0.99718	1.00330	1.00068	1.00068	0.99683	0.99823	1.00015	1.00260	0.99823
1.00053	1.00228	0.99790	0.99878	0.99807	1.00211	1.00123	0.99913	1.00141	0.99772	0.99930	0.99983	0.99842	0.99807	1.00158	0.99930	1.00386	1.00088	0.99930	0.99755	0.99790	1.00123	1.00000	0.99860	1.00106	1.00070	0.99913	0.99913	0.99895	0.99983	1.00018	0.99930	0.99983	1.00298	0.99965	1.00193	0.99825	0.99614	0.99825	1.00334	1.00000	0.99790	0.99948	1.00000	1.00000	1.00088	0.99913	0.99825	1.00158	1.00158	0.99597	0.99842	1.00053	1.00176	1.00141	0.99842	0.99913	1.00246	1.00281	1.00176	1.00246	0.99790	0.99983	1.00018	1.00053	0.99825	0.99948	1.00456	0.99579	1.00334	1.00176	1.00316	0.99930	1.00053	1.00070	1.00369	1.00000	0.99755	1.00123	0.99825	0.99965	1.00228	1.00123	1.00176	1.00035	0.99860	1.00228	1.00035	1.00334	1.00281	0.99965	1.00106	0.99667	1.00316	1.00035	1.00070	0.99720	0.99790	1.00070	1.00263	0.99878
